Regulator	Target	MI	pvalue
'yecC'	'fliY'	0.9805261013986522	1.1174648288925226E-6
'yajL'	'ybdG'	0.4764187426683166	9.363861686247921E-4
'yfcQ'	'yfcR'	0.755070912222104	1.1174648288925226E-6
'yajL'	'ybdF'	0.5375732854118196	9.363861686247921E-4
'gor'	'yhiR'	0.5934298687100179	1.1174648288925226E-6
'ygiL'	'yhhH'	0.7236428819498629	9.363861686247921E-4
'ymfN'	'abgB'	0.9126435208714186	9.363861686247921E-4
'ldcA'	'lpxM'	0.7128778798068838	1.1174648288925226E-6
'ycgL'	'minC'	0.7987236971225297	9.363861686247921E-4
'fimG'	'fimI'	0.4658417086246731	1.1174648288925226E-6
'rplL'	'rplJ'	1.0844228412204626	1.1174648288925226E-6
'yrdA'	'ilvL'	0.7525807242181436	9.363861686247921E-4
'glcA'	'prpB'	0.5088075402802966	9.363861686247921E-4
'fixB'	'fixA'	0.666654841014892	1.1174648288925226E-6
'fimG'	'fimD'	0.5493281965910513	1.1174648288925226E-6
'pal'	'aspC'	0.8022406493318757	9.363861686247921E-4
'sspB'	'holD'	1.0057479441940254	9.363861686247921E-4
'nirB'	'narG'	0.6981025515992814	9.363861686247921E-4
'nlpI'	'rfaQ'	0.9351423200404868	9.363861686247921E-4
'ycdY'	'kdsA'	0.8558895302487844	9.363861686247921E-4
'hisJ'	'hisQ'	1.009293636272354	1.1174648288925226E-6
'rpmD'	'rpsE'	1.3294172889499625	1.1174648288925226E-6
'yphF'	'ygjH'	0.57772826555189	1.1174648288925226E-6
'paaX'	'paaY'	1.0756121568867032	1.1174648288925226E-6
'frmA'	'frmB'	0.8726325230378874	9.363861686247921E-4
'yahI'	'fepE'	0.7882034743284633	9.363861686247921E-4
'ispD'	'ftsB'	0.7636057569768022	1.1174648288925226E-6
'usg'	'pdxB'	0.7562695965580352	9.363861686247921E-4
'pyrE'	'ppk'	0.4113777427193434	9.363861686247921E-4
'hdeB'	'hdeA'	2.08839765409084	1.1174648288925226E-6
'rnb'	'nhaB'	0.7352860697554041	9.363861686247921E-4
'yohC'	'ymgE'	0.8990058939288831	9.363861686247921E-4
'rpmD'	'rpsI'	0.8291835317978661	9.363861686247921E-4
'yegQ'	'ydhC'	0.39410927530721934	9.363861686247921E-4
'ydiZ'	'yncB'	0.8161773849420864	1.1174648288925226E-6
'fnr'	'ynaJ'	1.176247063335742	1.1174648288925226E-6
'rpmD'	'rpsM'	1.0478267394297118	9.363861686247921E-4
'cysU'	'cysW'	1.0556311361100106	1.1174648288925226E-6
